# wn[cm-1] real imag
4503.04 1.28864 3.6000e-04
4495.33 1.28833 3.8000e-04
4487.61 1.28802 4.1000e-04
4479.91 1.28772 4.4000e-04
4472.19 1.28742 4.7000e-04
4464.47 1.28712 5.0000e-04
4456.77 1.28682 5.2000e-04
4449.05 1.28652 5.3000e-04
4441.33 1.28621 5.4000e-04
4433.63 1.28590 5.5000e-04
4425.90 1.28558 5.5000e-04
4418.19 1.28526 5.5000e-04
4410.47 1.28492 5.6000e-04
4402.77 1.28459 5.6000e-04
4395.04 1.28424 5.6000e-04
4387.33 1.28390 5.6000e-04
4379.63 1.28354 5.6000e-04
4371.91 1.28318 5.6000e-04
4364.18 1.28281 5.6000e-04
4356.48 1.28244 5.6000e-04
4348.77 1.28206 5.5000e-04
4341.05 1.28167 5.5000e-04
4333.34 1.28127 5.5000e-04
4325.61 1.28086 5.5000e-04
4317.90 1.28045 5.5000e-04
4310.20 1.28003 5.5000e-04
4302.48 1.27960 5.5000e-04
4294.76 1.27917 5.6000e-04
4287.04 1.27872 5.6000e-04
4279.34 1.27828 5.7000e-04
4271.62 1.27782 5.8000e-04
4263.90 1.27735 5.9000e-04
4256.19 1.27688 6.0000e-04
4248.49 1.27641 6.1000e-04
4240.77 1.27591 6.2000e-04
4233.06 1.27541 6.3000e-04
4225.35 1.27490 6.4000e-04
4217.63 1.27438 6.6000e-04
4209.91 1.27384 6.8000e-04
4202.19 1.27331 7.1000e-04
4194.49 1.27277 7.4000e-04
4186.76 1.27221 7.6000e-04
4179.05 1.27165 8.0000e-04
4171.34 1.27108 8.3000e-04
4163.63 1.27050 8.7000e-04
4155.91 1.26992 9.1000e-04
4148.21 1.26933 9.4000e-04
4140.48 1.26873 9.8000e-04
4132.78 1.26812 1.0100e-03
4125.06 1.26749 1.0400e-03
4117.34 1.26686 1.0800e-03
4109.63 1.26622 1.1100e-03
4101.91 1.26556 1.1400e-03
4094.20 1.26489 1.1700e-03
4086.49 1.26421 1.2000e-03
4078.77 1.26352 1.2200e-03
4071.06 1.26281 1.2400e-03
4063.34 1.26209 1.2500e-03
4055.63 1.26134 1.2600e-03
4047.91 1.26058 1.2600e-03
4040.21 1.25980 1.2700e-03
4032.49 1.25899 1.2600e-03
4024.78 1.25816 1.2600e-03
4017.06 1.25732 1.2500e-03
4009.35 1.25643 1.2300e-03
4001.63 1.25552 1.2200e-03
3993.91 1.25458 1.2000e-03
3986.21 1.25361 1.1900e-03
3978.48 1.25261 1.1700e-03
3970.78 1.25157 1.1600e-03
3963.06 1.25051 1.1500e-03
3955.35 1.24941 1.1300e-03
3947.64 1.24827 1.1200e-03
3939.92 1.24710 1.1000e-03
3932.21 1.24587 1.0900e-03
3924.49 1.24460 1.0800e-03
3916.78 1.24328 1.0900e-03
3909.06 1.24192 1.0900e-03
3901.36 1.24050 1.1100e-03
3893.64 1.23904 1.1300e-03
3885.92 1.23750 1.1700e-03
3878.21 1.23592 1.2300e-03
3870.49 1.23427 1.3100e-03
3862.78 1.23258 1.4200e-03
3855.06 1.23082 1.5600e-03
3847.35 1.22905 1.7200e-03
3839.64 1.22721 1.8900e-03
3831.93 1.22536 2.0700e-03
3824.21 1.22345 2.2200e-03
3816.50 1.22148 2.3400e-03
3808.78 1.21942 2.4200e-03
3801.07 1.21724 2.4500e-03
3793.35 1.21490 2.4500e-03
3785.64 1.21239 2.4300e-03
3777.93 1.20967 2.4100e-03
3770.21 1.20671 2.4300e-03
3762.50 1.20352 2.5100e-03
3754.78 1.20009 2.6800e-03
3747.07 1.19640 2.9600e-03
3739.35 1.19242 3.3900e-03
3731.65 1.18817 4.0100e-03
3723.92 1.18359 4.8600e-03
3716.21 1.17873 6.0100e-03
3708.50 1.17357 7.5300e-03
3700.78 1.16814 9.4900e-03
3693.08 1.16255 1.1980e-02
3685.36 1.15681 1.5030e-02
3677.65 1.15111 1.8680e-02
3669.93 1.14549 2.2900e-02
