# wn[cm-1] real imag
4503.04 1.29003 3.5000e-04
4495.33 1.28973 3.5000e-04
4487.61 1.28940 3.7000e-04
4479.91 1.28909 3.8000e-04
4472.19 1.28876 4.1000e-04
4464.47 1.28844 4.3000e-04
4456.77 1.28810 4.6000e-04
4449.05 1.28778 5.1000e-04
4441.33 1.28745 5.5000e-04
4433.63 1.28713 5.9000e-04
4425.90 1.28679 6.3000e-04
4418.19 1.28648 6.7000e-04
4410.47 1.28615 7.1000e-04
4402.77 1.28583 7.5000e-04
4395.04 1.28549 7.8000e-04
4387.33 1.28516 8.1000e-04
4379.63 1.28482 8.4000e-04
4371.91 1.28447 8.7000e-04
4364.18 1.28411 9.0000e-04
4356.48 1.28376 9.4000e-04
4348.77 1.28339 9.7000e-04
4341.05 1.28303 1.0100e-03
4333.34 1.28266 1.0500e-03
4325.61 1.28229 1.0800e-03
4317.90 1.28191 1.1300e-03
4310.20 1.28156 1.1600e-03
4302.48 1.28117 1.1800e-03
4294.76 1.28080 1.2100e-03
4287.04 1.28040 1.2200e-03
4279.34 1.28001 1.2400e-03
4271.62 1.27961 1.2400e-03
4263.90 1.27918 1.2400e-03
4256.19 1.27874 1.2500e-03
4248.49 1.27830 1.2600e-03
4240.77 1.27783 1.2700e-03
4233.06 1.27737 1.2900e-03
4225.35 1.27689 1.3000e-03
4217.63 1.27641 1.3300e-03
4209.91 1.27591 1.3600e-03
4202.19 1.27543 1.3900e-03
4194.49 1.27493 1.4000e-03
4186.76 1.27440 1.4200e-03
4179.05 1.27387 1.4500e-03
4171.34 1.27334 1.4800e-03
4163.63 1.27280 1.5100e-03
4155.91 1.27225 1.5400e-03
4148.21 1.27170 1.5600e-03
4140.48 1.27112 1.5700e-03
4132.78 1.27052 1.5900e-03
4125.06 1.26991 1.6200e-03
4117.34 1.26929 1.6500e-03
4109.63 1.26866 1.6800e-03
4101.91 1.26801 1.7100e-03
4094.20 1.26736 1.7500e-03
4086.49 1.26668 1.7800e-03
4078.77 1.26599 1.8200e-03
4071.06 1.26529 1.8600e-03
4063.34 1.26456 1.9100e-03
4055.63 1.26383 1.9700e-03
4047.91 1.26309 2.0300e-03
4040.21 1.26235 2.1000e-03
4032.49 1.26159 2.1600e-03
4024.78 1.26083 2.2300e-03
4017.06 1.26008 2.2700e-03
4009.35 1.25929 2.3000e-03
4001.63 1.25850 2.3200e-03
3993.91 1.25767 2.3100e-03
3986.21 1.25682 2.2900e-03
3978.48 1.25591 2.2600e-03
3970.78 1.25499 2.2200e-03
3963.06 1.25402 2.1700e-03
3955.35 1.25302 2.1100e-03
3947.64 1.25195 2.0500e-03
3939.92 1.25085 1.9900e-03
3932.21 1.24968 1.9300e-03
3924.49 1.24848 1.8800e-03
3916.78 1.24722 1.8300e-03
3909.06 1.24591 1.7800e-03
3901.36 1.24453 1.7500e-03
3893.64 1.24311 1.7400e-03
3885.92 1.24163 1.7400e-03
3878.21 1.24012 1.7500e-03
3870.49 1.23853 1.7500e-03
3862.78 1.23689 1.7500e-03
3855.06 1.23514 1.7500e-03
3847.35 1.23329 1.7800e-03
3839.64 1.23133 1.8700e-03
3831.93 1.22933 2.0300e-03
3824.21 1.22726 2.2500e-03
3816.50 1.22520 2.4800e-03
3808.78 1.22305 2.7100e-03
3801.07 1.22086 2.9200e-03
3793.35 1.21854 3.1000e-03
3785.64 1.21612 3.2600e-03
3777.93 1.21352 3.4000e-03
3770.21 1.21074 3.5400e-03
3762.50 1.20774 3.6800e-03
3754.78 1.20449 3.8500e-03
3747.07 1.20095 4.0800e-03
3739.35 1.19706 4.4100e-03
3731.65 1.19282 4.9000e-03
3723.92 1.18814 5.6600e-03
3716.21 1.18309 6.7800e-03
3708.50 1.17766 8.3800e-03
3700.78 1.17193 1.0570e-02
3693.08 1.16606 1.3440e-02
3685.36 1.16010 1.7050e-02
3677.65 1.15431 2.1390e-02
3669.93 1.14872 2.6410e-02
3662.21 1.14355 3.2040e-02
3654.50 1.13892 3.8130e-02
3646.79 1.13471 4.4520e-02
3639.08 1.13109 5.1030e-02
3631.36 1.12765 5.7540e-02
3623.65 1.12448 6.4040e-02
3615.93 1.12112 7.0650e-02
3608.22 1.11786 7.7540e-02
3600.50 1.11436 8.4870e-02
3592.79 1.11115 9.2780e-02
3585.08 1.10790 1.0135e-01
3577.37 1.10543 1.1059e-01
3569.64 1.10281 1.2045e-01
3561.94 1.10167 1.3086e-01
3554.22 1.10053 1.4172e-01
3546.50 1.10052 1.5291e-01
3538.80 1.10151 1.6432e-01
3531.09 1.10339 1.7588e-01
3523.36 1.10519 1.8749e-01
3515.66 1.10909 1.9910e-01
3507.94 1.11270 2.1066e-01
3500.22 1.11779 2.2209e-01
3492.51 1.12344 2.3336e-01
3484.79 1.12956 2.4442e-01
3477.09 1.13731 2.5528e-01
3469.37 1.14473 2.6587e-01
3461.66 1.15391 2.7611e-01
3453.95 1.16366 2.8585e-01
3446.23 1.17427 2.9497e-01
3438.52 1.18556 3.0341e-01
3430.80 1.19759 3.1110e-01
3423.09 1.21025 3.1797e-01
3415.37 1.22357 3.2389e-01
3407.65 1.23741 3.2871e-01
3399.94 1.25137 3.3232e-01
3392.23 1.26657 3.3463e-01
3384.52 1.28073 3.3564e-01
3376.80 1.29489 3.3536e-01
3369.09 1.30891 3.3391e-01
3361.37 1.32127 3.3141e-01
3353.66 1.33393 3.2808e-01
3345.95 1.34579 3.2412e-01
3338.23 1.35609 3.1974e-01
3330.51 1.36598 3.1514e-01
3322.80 1.37522 3.1042e-01
3315.09 1.38429 3.0568e-01
3307.37 1.39199 3.0095e-01
3299.67 1.40088 2.9624e-01
3291.94 1.40775 2.9153e-01
3284.23 1.41593 2.8679e-01
3276.52 1.42314 2.8196e-01
3268.81 1.43084 2.7698e-01
3261.09 1.43787 2.7181e-01
3253.38 1.44533 2.6640e-01
3245.66 1.45219 2.6069e-01
3237.94 1.45919 2.5465e-01
3230.24 1.46625 2.4824e-01
3222.52 1.47283 2.4147e-01
3214.80 1.47888 2.3432e-01
3207.09 1.48505 2.2675e-01
3199.38 1.49039 2.1879e-01
3191.67 1.49566 2.1047e-01
3183.95 1.50016 2.0186e-01
3176.24 1.50402 1.9301e-01
3168.52 1.50711 1.8400e-01
3160.81 1.50988 1.7491e-01
3153.09 1.51186 1.6585e-01
3145.38 1.51309 1.5687e-01
3137.67 1.51420 1.4802e-01
3129.95 1.51419 1.3933e-01
3122.24 1.51410 1.3083e-01
3114.53 1.51331 1.2257e-01
3106.82 1.51217 1.1464e-01
3099.09 1.51028 1.0706e-01
