# wn[cm-1] real imag
9.9010e+03 1.3014 2.000e-06
9.8039e+03 1.3012 2.250e-06
9.7087e+03 1.3010 2.330e-06
9.6154e+03 1.3009 2.330e-06
9.5238e+03 1.3007 2.170e-06
9.4340e+03 1.3005 1.960e-06
9.3458e+03 1.3003 1.810e-06
9.2593e+03 1.3002 1.740e-06
9.1743e+03 1.3000 1.730e-06
9.0909e+03 1.2998 1.700e-06
9.0090e+03 1.2997 1.760e-06
8.9286e+03 1.2995 1.820e-06
8.8496e+03 1.2993 2.040e-06
8.7719e+03 1.2991 2.250e-06
8.6957e+03 1.2990 2.290e-06
8.6207e+03 1.2988 3.040e-06
8.5470e+03 1.2986 3.840e-06
8.4746e+03 1.2984 4.770e-06
8.4034e+03 1.2982 5.760e-06
8.3333e+03 1.2980 6.710e-06
8.2645e+03 1.2979 8.660e-06
8.1967e+03 1.2977 1.020e-05
8.1301e+03 1.2975 1.130e-05
8.0645e+03 1.2973 1.220e-05
8.0000e+03 1.2971 1.290e-05
7.9365e+03 1.2969 1.320e-05
7.8740e+03 1.2967 1.350e-05
7.8125e+03 1.2965 1.330e-05
7.7519e+03 1.2963 1.320e-05
7.6923e+03 1.2961 1.320e-05
7.6336e+03 1.2959 1.310e-05
7.5758e+03 1.2957 1.320e-05
7.5188e+03 1.2955 1.320e-05
7.4627e+03 1.2953 1.340e-05
7.4074e+03 1.2951 1.390e-05
7.3529e+03 1.2949 1.420e-05
7.2993e+03 1.2946 1.480e-05
7.2464e+03 1.2944 1.580e-05
7.1942e+03 1.2941 1.740e-05
7.1429e+03 1.2939 1.980e-05
7.0922e+03 1.2937 3.442e-05
7.0423e+03 1.2934 5.959e-05
6.9930e+03 1.2931 1.028e-04
6.9444e+03 1.2929 1.516e-04
6.9013e+03 1.2927 2.030e-04
6.8493e+03 1.2924 2.942e-04
6.7981e+03 1.2921 3.987e-04
6.7522e+03 1.2920 4.941e-04
6.6979e+03 1.2918 5.532e-04
6.6489e+03 1.2916 5.373e-04
6.6007e+03 1.2914 5.143e-04
6.5488e+03 1.2912 4.908e-04
6.5020e+03 1.2909 4.594e-04
6.3980e+03 1.2903 3.858e-04
6.3012e+03 1.2897 3.105e-04
6.1996e+03 1.2890 2.659e-04
6.0606e+03 1.2879 2.361e-04
5.9524e+03 1.2870 2.046e-04
5.8824e+03 1.2863 1.875e-04
5.7803e+03 1.2853 1.650e-04
5.6818e+03 1.2843 1.522e-04
5.5556e+03 1.2828 1.411e-04
5.4645e+03 1.2816 1.302e-04
5.4348e+03 1.2811 1.310e-04
5.4054e+03 1.2807 1.339e-04
