#wn[cm-1] real imag
50000.00 1.530 0.070
40000.00 1.530 0.030
33333.33 1.530 0.008
29673.59 1.530 0.005
25000.00 1.530 0.005
20491.80 1.530 0.005
19417.47 1.530 0.005
18181.81 1.530 0.006
15797.78 1.530 0.006
14409.22 1.530 0.007
11627.90 1.520 0.012
9433.96 1.520 0.017
7692.30 1.510 0.020
6510.41 1.510 0.023
5555.55 1.460 0.017
5000.00 1.420 0.008
4444.44 1.420 0.010
4000.00 1.420 0.012
3703.70 1.400 0.055
3333.33 1.420 0.022
3125.00 1.430 0.008
2948.11 1.430 0.007
2857.14 1.450 0.005
2666.66 1.452 0.004
2500.00 1.455 0.005
2222.22 1.460 0.013
2000.00 1.450 0.012
1818.18 1.440 0.018
1666.66 1.410 0.023
1612.90 1.430 0.027
1538.46 1.460 0.033
1388.88 1.400 0.070
1265.82 1.200 0.065
1219.51 1.010 0.100
1176.47 1.300 0.215
1149.42 2.400 0.290
1111.11 2.560 0.370
1086.95 2.200 0.420
1052.63 1.950 0.160
1020.40 1.870 0.095
1000.00 1.820 0.090
944.19 1.760 0.070
909.09 1.720 0.050
869.56 1.670 0.047
800.00 1.620 0.053
769.23 1.620 0.055
714.28 1.560 0.073
675.67 1.440 0.100
666.66 1.420 0.200
609.75 1.750 0.160
581.39 2.080 0.240
555.55 1.980 0.180
540.54 1.850 0.170
500.00 2.120 0.220
469.48 2.060 0.230
444.44 2.000 0.240
400.00 1.880 0.280
358.42 1.840 0.290
333.33 1.820 0.300
285.71 1.920 0.400
250.00 1.860 0.500
