# wn[cm-1] real imag
4503.04 1.28723 4.0000e-04
4495.33 1.28694 4.3000e-04
4487.61 1.28664 4.7000e-04
4479.91 1.28636 5.0000e-04
4472.19 1.28607 5.2000e-04
4464.47 1.28577 5.3000e-04
4456.77 1.28547 5.4000e-04
4449.05 1.28517 5.5000e-04
4441.33 1.28485 5.6000e-04
4433.63 1.28453 5.6000e-04
4425.90 1.28421 5.8000e-04
4418.19 1.28388 5.9000e-04
4410.47 1.28356 6.0000e-04
4402.77 1.28323 6.1000e-04
4395.04 1.28291 6.1000e-04
4387.33 1.28257 6.0000e-04
4379.63 1.28223 5.8000e-04
4371.91 1.28186 5.6000e-04
4364.18 1.28149 5.5000e-04
4356.48 1.28110 5.4000e-04
4348.77 1.28071 5.5000e-04
4341.05 1.28031 5.5000e-04
4333.34 1.27992 5.5000e-04
4325.61 1.27951 5.6000e-04
4317.90 1.27911 5.6000e-04
4310.20 1.27870 5.6000e-04
4302.48 1.27828 5.5000e-04
4294.76 1.27785 5.4000e-04
4287.04 1.27741 5.3000e-04
4279.34 1.27695 5.2000e-04
4271.62 1.27647 5.2000e-04
4263.90 1.27598 5.3000e-04
4256.19 1.27550 5.6000e-04
4248.49 1.27503 5.9000e-04
4240.77 1.27456 6.1000e-04
4233.06 1.27408 6.1000e-04
4225.35 1.27358 6.1000e-04
4217.63 1.27306 5.9000e-04
4209.91 1.27252 5.9000e-04
4202.19 1.27195 5.9000e-04
4194.49 1.27138 6.2000e-04
4186.76 1.27079 6.5000e-04
4179.05 1.27021 7.1000e-04
4171.34 1.26962 7.7000e-04
4163.63 1.26905 8.3000e-04
4155.91 1.26847 8.9000e-04
4148.21 1.26789 9.4000e-04
4140.48 1.26730 9.8000e-04
4132.78 1.26671 1.0200e-03
4125.06 1.26609 1.0400e-03
4117.34 1.26546 1.0700e-03
4109.63 1.26481 1.1100e-03
4101.91 1.26416 1.1400e-03
4094.20 1.26349 1.1700e-03
4086.49 1.26281 1.2000e-03
4078.77 1.26210 1.2300e-03
4071.06 1.26141 1.2600e-03
4063.34 1.26067 1.2800e-03
4055.63 1.25993 1.3100e-03
4047.91 1.25917 1.3300e-03
4040.21 1.25841 1.3500e-03
4032.49 1.25761 1.3600e-03
4024.78 1.25680 1.3800e-03
4017.06 1.25597 1.3800e-03
4009.35 1.25511 1.3900e-03
4001.63 1.25423 1.3900e-03
3993.91 1.25332 1.3900e-03
3986.21 1.25240 1.3900e-03
3978.48 1.25144 1.3800e-03
3970.78 1.25046 1.3600e-03
3963.06 1.24945 1.3400e-03
3955.35 1.24841 1.3000e-03
3947.64 1.24731 1.2500e-03
3939.92 1.24617 1.2000e-03
3932.21 1.24497 1.1500e-03
3924.49 1.24373 1.1100e-03
3916.78 1.24244 1.0700e-03
3909.06 1.24109 1.0300e-03
3901.36 1.23968 1.0100e-03
3893.64 1.23821 1.0100e-03
3885.92 1.23669 1.0300e-03
3878.21 1.23510 1.0800e-03
3870.49 1.23348 1.1500e-03
3862.78 1.23180 1.2500e-03
3855.06 1.23009 1.3700e-03
3847.35 1.22833 1.5000e-03
3839.64 1.22652 1.6500e-03
3831.93 1.22467 1.8000e-03
3824.21 1.22275 1.9400e-03
3816.50 1.22077 2.0800e-03
3808.78 1.21872 2.2100e-03
3801.07 1.21658 2.3100e-03
3793.35 1.21433 2.3900e-03
3785.64 1.21194 2.4400e-03
3777.93 1.20940 2.4800e-03
3770.21 1.20666 2.5100e-03
3762.50 1.20372 2.5500e-03
3754.78 1.20052 2.6200e-03
3747.07 1.19706 2.7700e-03
3739.35 1.19328 3.0200e-03
3731.65 1.18922 3.4500e-03
3723.92 1.18480 4.0900e-03
3716.21 1.18009 5.0400e-03
3708.50 1.17507 6.3600e-03
3700.78 1.16982 8.1200e-03
3693.08 1.16442 1.0370e-02
3685.36 1.15891 1.3150e-02
3677.65 1.15344 1.6460e-02
3669.93 1.14804 2.0270e-02
3662.21 1.14282 2.4510e-02
3654.50 1.13787 2.9120e-02
3646.79 1.13304 3.3970e-02
3639.08 1.12844 3.9010e-02
3631.36 1.12376 4.4210e-02
3623.65 1.11912 4.9670e-02
3615.93 1.11429 5.5470e-02
3608.22 1.10953 6.1680e-02
3600.50 1.10458 6.8390e-02
3592.79 1.09983 7.5650e-02
3585.08 1.09492 8.3550e-02
3577.37 1.09052 9.2140e-02
3569.64 1.08576 1.0146e-01
3561.94 1.08210 1.1155e-01
3554.22 1.07827 1.2239e-01
3546.50 1.07534 1.3396e-01
3538.80 1.07329 1.4623e-01
3531.09 1.07215 1.5912e-01
3523.36 1.07110 1.7256e-01
3515.66 1.07231 1.8645e-01
3507.94 1.07355 2.0068e-01
3500.22 1.07664 2.1515e-01
3492.51 1.08073 2.2972e-01
3484.79 1.08581 2.4425e-01
3477.09 1.09301 2.5858e-01
3469.37 1.10031 2.7256e-01
3461.66 1.10974 2.8602e-01
3453.95 1.12000 2.9882e-01
3446.23 1.13135 3.1085e-01
3438.52 1.14362 3.2200e-01
3430.80 1.15675 3.3216e-01
3423.09 1.17054 3.4126e-01
3415.37 1.18489 3.4929e-01
3407.65 1.19965 3.5628e-01
3399.94 1.21451 3.6232e-01
3392.23 1.23103 3.6732e-01
3384.52 1.24689 3.7108e-01
3376.80 1.26326 3.7336e-01
3369.09 1.27977 3.7420e-01
3361.37 1.29476 3.7382e-01
3353.66 1.31053 3.7241e-01
3345.95 1.32596 3.6998e-01
3338.23 1.34002 3.6646e-01
3330.51 1.35366 3.6195e-01
3322.80 1.36628 3.5677e-01
3315.09 1.37842 3.5127e-01
3307.37 1.38875 3.4563e-01
3299.67 1.40033 3.3984e-01
3291.94 1.40941 3.3381e-01
3284.23 1.41970 3.2751e-01
3276.52 1.42842 3.2103e-01
3268.81 1.43731 3.1448e-01
3261.09 1.44509 3.0799e-01
3253.38 1.45324 3.0159e-01
3245.66 1.46070 2.9522e-01
3237.94 1.46857 2.8876e-01
3230.24 1.47676 2.8201e-01
3222.52 1.48475 2.7479e-01
3214.80 1.49228 2.6694e-01
3207.09 1.50004 2.5840e-01
3199.38 1.50677 2.4921e-01
3191.67 1.51334 2.3951e-01
3183.95 1.51890 2.2943e-01
3176.24 1.52367 2.1911e-01
3168.52 1.52755 2.0863e-01
3160.81 1.53113 1.9799e-01
3153.09 1.53373 1.8721e-01
3145.38 1.53526 1.7644e-01
3137.67 1.53632 1.6599e-01
3129.95 1.53614 1.5609e-01
3122.24 1.53615 1.4663e-01
3114.53 1.53577 1.3732e-01
3106.82 1.53507 1.2801e-01
3099.09 1.53341 1.1883e-01
3091.38 1.53149 1.0998e-01
3083.67 1.52902 1.0153e-01
3075.96 1.52621 9.3460e-02
3068.24 1.52275 8.5790e-02
3060.53 1.51920 7.8570e-02
3052.81 1.51509 7.1880e-02
3045.09 1.51083 6.5770e-02
3037.38 1.50645 6.0250e-02
3029.67 1.50208 5.5280e-02
3021.96 1.49783 5.0760e-02
3014.25 1.49356 4.6620e-02
3006.53 1.48948 4.2790e-02
2998.82 1.48537 3.9230e-02
2991.10 1.48138 3.5940e-02
2983.38 1.47735 3.2920e-02
2975.68 1.47354 3.0180e-02
2967.96 1.46969 2.7690e-02
2960.24 1.46603 2.5420e-02
2952.54 1.46250 2.3330e-02
2944.81 1.45902 2.1400e-02
2937.10 1.45567 1.9610e-02
2929.39 1.45243 1.7950e-02
2921.68 1.44924 1.6410e-02
2913.97 1.44613 1.5000e-02
2906.25 1.44307 1.3730e-02
2898.53 1.44013 1.2590e-02
2890.82 1.43727 1.1550e-02
2883.11 1.43454 1.0600e-02
2875.39 1.43186 9.7300e-03
2867.68 1.42931 8.9300e-03
2859.96 1.42679 8.1800e-03
2852.25 1.42434 7.5000e-03
2844.54 1.42198 6.8900e-03
2836.82 1.41966 6.3400e-03
2829.11 1.41742 5.8600e-03
2821.39 1.41526 5.4200e-03
2813.68 1.41316 5.0200e-03
2805.96 1.41112 4.6600e-03
2798.25 1.40913 4.3400e-03
2790.54 1.40721 4.0600e-03
2782.83 1.40533 3.8100e-03
2775.11 1.40351 3.6100e-03
2767.39 1.40174 3.4400e-03
2759.68 1.40005 3.3000e-03
2751.97 1.39841 3.1700e-03
2744.25 1.39682 3.0600e-03
2736.54 1.39528 2.9500e-03
2728.83 1.39378 2.8500e-03
2721.11 1.39232 2.7600e-03
2713.40 1.39088 2.6700e-03
2705.69 1.38947 2.6100e-03
2697.97 1.38811 2.5500e-03
2690.25 1.38676 2.5000e-03
2682.54 1.38545 2.4600e-03
2674.83 1.38414 2.4300e-03
2667.11 1.38288 2.4200e-03
2659.40 1.38162 2.4100e-03
2651.68 1.38039 2.4300e-03
2643.97 1.37919 2.4500e-03
2636.25 1.37801 2.4900e-03
2628.54 1.37685 2.5300e-03
2620.83 1.37571 2.5800e-03
2613.12 1.37459 2.6500e-03
2605.40 1.37348 2.7200e-03
2597.69 1.37238 2.8100e-03
2589.98 1.37131 2.9200e-03
2582.26 1.37025 3.0500e-03
2574.55 1.36922 3.1900e-03
2566.83 1.36821 3.3500e-03
2559.12 1.36722 3.5200e-03
2551.40 1.36626 3.7000e-03
2543.69 1.36531 3.8900e-03
2535.97 1.36439 4.1000e-03
2528.26 1.36351 4.3100e-03
2520.55 1.36263 4.5300e-03
2512.83 1.36180 4.7600e-03
2505.12 1.36098 4.9800e-03
2497.40 1.36018 5.2100e-03
2489.69 1.35942 5.4400e-03
2481.97 1.35866 5.6600e-03
2474.26 1.35792 5.8900e-03
2466.55 1.35721 6.1100e-03
2458.83 1.35650 6.3300e-03
2451.12 1.35583 6.5400e-03
2443.41 1.35515 6.7500e-03
2435.69 1.35450 6.9400e-03
2427.98 1.35384 7.1200e-03
2420.26 1.35318 7.3000e-03
2412.55 1.35252 7.4700e-03
2404.84 1.35186 7.6400e-03
2397.12 1.35116 7.8300e-03
2389.41 1.35050 8.0200e-03
2381.70 1.34980 8.2400e-03
2373.98 1.34913 8.4700e-03
2366.27 1.34845 8.7300e-03
2358.55 1.34779 9.0000e-03
2350.84 1.34714 9.2900e-03
2343.13 1.34652 9.6000e-03
2335.41 1.34590 9.9200e-03
2327.70 1.34531 1.0250e-02
2319.99 1.34472 1.0600e-02
2312.27 1.34417 1.0950e-02
2304.56 1.34360 1.1330e-02
2296.84 1.34309 1.1730e-02
2289.13 1.34258 1.2150e-02
2281.41 1.34214 1.2570e-02
2273.70 1.34171 1.3000e-02
2265.99 1.34134 1.3410e-02
2258.27 1.34096 1.3810e-02
2250.56 1.34059 1.4220e-02
2242.85 1.34025 1.4660e-02
2235.13 1.33996 1.5110e-02
2227.41 1.33968 1.5580e-02
2219.70 1.33951 1.6060e-02
2211.99 1.33937 1.6520e-02
2204.27 1.33932 1.6960e-02
2196.56 1.33933 1.7370e-02
2188.84 1.33939 1.7730e-02
2181.13 1.33954 1.8030e-02
2173.42 1.33973 1.8250e-02
2165.70 1.33996 1.8360e-02
2157.99 1.34022 1.8370e-02
2150.27 1.34044 1.8280e-02
2142.56 1.34067 1.8070e-02
2134.85 1.34083 1.7770e-02
