# $1 = time (seconds since 2000-01-01T00:00Z)
# $2 = altitude [km]
# $3 = longitude [deg]
# $4 = latitude [deg]
# $5 = pressure [hPa]
# $6 = temperature [K]
# $7 = CO2 volume mixing ratio
# $8 = H2O volume mixing ratio
# $9 = O3 volume mixing ratio
# $10 = window 0: extinction [1/km]

0.00 66 0 0 0.0523327 248.12 0.000363 3.39e-06 6.86e-07 0
0.00 67 0 0 0.0457132 247.84 0.000363 3.224e-06 6.3e-07 0
0.00 68 0 0 0.0399232 247.24 0.000363 3.059e-06 5.79e-07 0
0.00 69 0 0 0.0348534 246.32 0.0003625 2.893e-06 5.38e-07 0
0.00 70 0 0 0.0304132 245.4 0.0003617 2.728e-06 5e-07 0
0.00 71 0 0 0.0265172 243.26 0.0003604 2.939e-06 4.6e-07 0
0.00 72 0 0 0.0230933 241.12 0.0003586 3.166e-06 4.23e-07 0
0.00 73 0 0 0.0200876 238.98 0.0003564 3.426e-06 3.9e-07 0
0.00 74 0 0 0.017452 236.84 0.0003541 3.719e-06 3.59e-07 0
0.00 75 0 0 0.0151435 234.7 0.0003519 4.012e-06 3.41e-07 0
0.00 76 0 0 0.0131237 232.54 0.0003495 4.354e-06 3.24e-07 0
0.00 77 0 0 0.0113587 230.38 0.0003471 4.712e-06 3.18e-07 0
0.00 78 0 0 0.00981818 228.22 0.0003447 5.103e-06 3.12e-07 0
0.00 79 0 0 0.00847519 226.06 0.0003421 5.526e-06 3.06e-07 0
0.00 80 0 0 0.00730592 223.9 0.0003394 5.983e-06 3e-07 0
